职位名称,公司名称,位置,工资,职位链接
软件测试,华为技术武研所,武汉·洪山区·光谷东,15-20K,https://www.zhipin.com/job_detail/5a8cb865277c2b281HVz2tW9FVpR.html?lid=4libl3EPBMj.search.27&securityId=nIYsMj96bJ_Bx-B1u3fEtxB6OYMRO2Tj6q5oSd_krpgHfIc4L6HymjOaUokkm3uUTCGRQlYUJxx5phblbmyitEE66hXDw2DArEJS0QbbEX1lYLGyAsM~&sessionId=
软件测试,武汉市洪山区起点...,武汉·江夏区·大花岭,30-35元/时,https://www.zhipin.com/job_detail/f347a820c6404ca11HJz2dq-GFpR.html?lid=4libl3EPBMj.search.28&securityId=XQiwIawFLXt2d-21YVhUj8hpQYi3CIgqn8SwhiSjN7Dskdall-1-2ruKPQ8m1_oz7Yyb1dU670L52fLDtVKbZRQUVh6XE52xfjt74wkP5XugC-MyG27e&sessionId=
软件测试,深圳市新凯来技术,武汉·江夏区·光谷东,18-30K·15薪,https://www.zhipin.com/job_detail/3183bb032481f4dc1HN53ti-F1ZS.html?lid=4libl3EPBMj.search.29&securityId=KhnKikYIrZqRH-Q1ipCcA-CSyfjyOYoetHVeAzgq40fjFygDPzD8cFbDfQCqdMLUA_HSkTiKVS55lyLNKswo-xGbspL0cankbfbP-29GQqJdCZYgvSZW&sessionId=
软件测试,润和德康,武汉·江夏区·流芳,10-13K·13薪,https://www.zhipin.com/job_detail/c92a7e6f032c72eb1XJy2dm0GFZX.html?lid=4libl3EPBMj.search.30&securityId=6mCo5JgcLgMIj-O1nY6Qwi2negH9xsmuEtoYcMqRGpWN_Cjr8PoxccwN_Cx2GzNou2jIBQufqZ8e50WhiNCLeNWKJ4-6F4YdV_mvabHA1X3xJkV56A~~&sessionId=
软件测试,普宙科技,武汉·江夏区·光谷,100-150元/天,https://www.zhipin.com/job_detail/0c261b85457f65461Hd93t29EltR.html?lid=4libl3EPBMj.search.31&securityId=uyGVnQSDEBnhZ-Z1HJvvTNpNf4mcZti0_DfTJ05wetpRvwoMjDHCRebtcjYfi_UBsMU5qET-o7kG3vFCZZa1RAoKyfowSg79lilJ1IqH16N5mbhBnrjO&sessionId=
软件测试,湖北箭火网络技术...,武汉·江汉区·武汉商务区,4-7K,https://www.zhipin.com/job_detail/a9a912ed65ee07711XN42dS0FlRQ.html?lid=4libl3EPBMj.search.32&securityId=6CJ7Xvy0JvnMc-l1Yb45eZRD8R5dRN7VmAvQunoimUMH2zzUCBPRAMNqa9j39d4T6RWilrTGdu9hP5JVSrtazzLkBaNZr5Uad5F6jfAwpeQGVCo3Xg~~&sessionId=
软件测试,建广数科,武汉·江岸区·永清,15-25K,https://www.zhipin.com/job_detail/668c75de3f9dd6e81Hx83Nq5FVNU.html?lid=4libl3EPBMj.search.33&securityId=5memUNskODDwY-A1glrpKQ5k3ef9EKCZBvXrBJoAADHAwfa3HcSujfs7lqIxyon5aqwy3Yjp8ow8TAA1OdPdRn1ZSel2uVfCBwrklvRlBoVRmt0_O_sw&sessionId=
软件测试,榕森,武汉·江夏区·武汉东湖高新区,3-7K,https://www.zhipin.com/job_detail/d01477f43f59d5491Hx639-5EVpR.html?lid=4libl3EPBMj.search.34&securityId=tBZmjR9T7fLZe-i19-uHCMEWa5vSF82zZjFfJRbGtVHv6TLFPpk1ih2MEYK0HPuVmknXW6opR2jFxB8HPJVeGPCtam-U-5bsRw4V1ShceZ1P8APerm5A&sessionId=
软件测试,法本,武汉·江夏区·流芳,7-9K,https://www.zhipin.com/job_detail/7c78d835d8cd73761HNy39S4FVdW.html?lid=4libl3EPBMj.search.35&securityId=k5ng2GW8w41DU-j1kTa6iAlhDkFW2xEu9diK8MGjBybGux1q9HVWxkWpyet6KtmC6ePAyg9Pt0xMysmz22rrDNpfBWokl9gxtKvF96m0uNlJNMBG&sessionId=
软件测试组长,霓虹哨兵,武汉·洪山区·鲁巷,12-15K·14薪,https://www.zhipin.com/job_detail/cf6dbfc089b9e53d1XR829i8FFFR.html?lid=4libl3EPBMj.search.36&securityId=ArfsiWsNFFGAH-l1Y_a_hzNfwDNrOGVwNBwaEe8rByXi0tKv5Poa4fuyoE461VI6QJColgpejIkJuKnPBo9BgCPKY5MXKm7JQDUmqT3WSiWZAIP-nEo~&sessionId=
